Municipio,Razon
214454344 - Hacarí,Periodo OCT A DIC - 2009 no encontrado
214519845 - Villa Rica - Cauca,Periodo OCT A DIC - 2009 no encontrado
214547245 - El Banco,Periodo OCT A DIC - 2009 no encontrado
214568245 - El Guacamayo,Periodo OCT A DIC - 2009 no encontrado
214713647 - San Estanislao,Periodo OCT A DIC - 2009 no encontrado
215019050 - Argelia -  Cauca,Periodo OCT A DIC - 2009 no encontrado
215023350 - La Apartada,Periodo OCT A DIC - 2009 no encontrado
215027250 - Litoral del San Juan (Santa Genoveva de D.),Periodo OCT A DIC - 2009 no encontrado
215052250 - El Charco,Periodo OCT A DIC - 2009 no encontrado
215054250 - El Tarra,Periodo OCT A DIC - 2009 no encontrado
215105051 - Arboletes,Periodo OCT A DIC - 2009 no encontrado
215152051 - Arboleda - Berruecos,Periodo OCT A DIC - 2009 no encontrado
215268152 - Carcasí,Periodo OCT A DIC - 2009 no encontrado
215354553 - Puerto Santander,Categoría no encontrada
215413654 - San Jacinto - Bolívar,Periodo OCT A DIC - 2009 no encontrado
215513655 - San Jacinto del Cauca,Categoría no encontrada
215573555 - Planadas,Periodo OCT A DIC - 2009 no encontrado
215786757 - San Miguel - Putumayo,Periodo OCT A DIC - 2009 no encontrado
215808558 - Polonuevo,Periodo OCT A DIC - 2009 no encontrado
215813458 - Montecristo,Periodo OCT A DIC - 2009 no encontrado
216018860 - Valparaíso - Caquetá,Periodo OCT A DIC - 2009 no encontrado
216047660 - Sabanas de San Ángel,Periodo OCT A DIC - 2009 no encontrado
216105361 - Ituango,Periodo OCT A DIC - 2009 no encontrado
216127361 - Istmina,Periodo OCT A DIC - 2009 no encontrado
216376563 - Pradera,Periodo OCT A DIC - 2009 no encontrado
216505665 - San Pedro de Urabá,Periodo OCT A DIC - 2009 no encontrado
216886568 - Puerto Asís,Periodo OCT A DIC - 2009 no encontrado
217020770 - San Martín - Cesar,Periodo OCT A DIC - 2009 no encontrado
217125871 - Villagómez,Periodo OCT A DIC - 2009 no encontrado
217352473 - Mosquera - Nariño,Periodo OCT A DIC - 2009 no encontrado
217354673 - San Cayetano - Norte de Santander,Categoría no encontrada
217373873 - Villarrica - Tolima,Periodo OCT A DIC - 2009 no encontrado
217386573 - Puerto Leguízamo,Periodo OCT A DIC - 2009 no encontrado
217717777 - Supía,Periodo OCT A DIC - 2009 no encontrado
217754377 - Labateca,Periodo OCT A DIC - 2009 no encontrado
217852378 - La Cruz,Periodo OCT A DIC - 2009 no encontrado
217873678 - San Luis - Tolima,Periodo OCT A DIC - 2009 no encontrado
217918479 - Morelia,Periodo OCT A DIC - 2009 no encontrado
218047980 - Zona Bananera,"Sin Categoria, ni periodo"
218313683 - Santa Rosa Norte,Periodo OCT A DIC - 2009 no encontrado
218352683 - Sandoná,Periodo OCT A DIC - 2009 no encontrado
218505885 - Yalí,Periodo OCT A DIC - 2009 no encontrado
218625086 - Beltrán,Periodo OCT A DIC - 2009 no encontrado
218650686 - San Juanito,Periodo OCT A DIC - 2009 no encontrado
218668686 - San Miguel - Santander,"Sin Categoria, ni periodo"
218813188 - Cicuco,"Sin Categoria, ni periodo"
219005390 - La Pintada,"Sin Categoria, ni periodo"
219052390 - La Tola,"Sin Categoria, ni periodo"
219052490 - Olaya Herrera (Bocas de Satinga),"Sin Categoria, ni periodo"
219105091 - Betania,"Sin Categoria, ni periodo"
219218592 - Puerto Rico - Caquetá,"Sin Categoria, ni periodo"
219425394 - La Palma,"Sin Categoria, ni periodo"
219463594 - Quimbaya,"Sin Categoria, ni periodo"
219481794 - Tame,"Sin Categoria, ni periodo"
219615296 - Gámeza,"Sin Categoria, ni periodo"
219725297 - Gachetá,"Sin Categoria, ni periodo"
219925599 - Apulo - Rafael Reyes,"Sin Categoria, ni periodo"
220105999 - Área Metropolitana del Valle de Aburrá,"Sin Categoria, ni periodo"
220208999 - Área Metropolitana de Barranquilla,"Sin Categoria, ni periodo"
220273411 - Hogar San José para Ancianos,"Sin Categoria, ni periodo"
220354999 - Área Metropolitana de Cúcuta,"Sin Categoria, ni periodo"
220568999 - Área Metropolitana de Bucaramanga,"Sin Categoria, ni periodo"
223511001 - Fundación Gilberto Alzate Avendaño,"Sin Categoria, ni periodo"
224968081 - Inspección de Tránsito y Transporte de Barrancabermeja,"Sin Categoria, ni periodo"
225468001 - Bomberos de Bucaramanga,"Sin Categoria, ni periodo"
230105045 - Plaza de Mercado de Apartadó,"Sin Categoria, ni periodo"
230386001 - Plaza de Mercado de Mocoa,"Sin Categoria, ni periodo"
230605001 - Aeropuerto Olaya Herrera,"Sin Categoria, ni periodo"
238866001 - Aeropuerto Matecaña,"Sin Categoria, ni periodo"
265476111 - Buga Abastos,"Sin Categoria, ni periodo"
267411001 - Canal Capital,"Sin Categoria, ni periodo"
822400000 - Defensoría del Pueblo,"Sin Categoria, ni periodo"
923269198 - Fonprecon - Invalidez,"Sin Categoria, ni periodo"
923269199 - Fonprecon - Sobrevivientes,"Sin Categoria, ni periodo"
923271489 - Norosí,"Sin Categoria, ni periodo"
923271506 - Ente Deportivo Municipal Santa Rosa de Viterbo,"Sin Categoria, ni periodo"
923272548 - Área Metropolitana de Valledupar,"Sin Categoria, ni periodo"
923272864 - Fundación San Juan de Dios de Santanfé de Antioquia.,"Sin Categoria, ni periodo"
923272915 - Infraestructura Asset Management Colombia SAS,"Sin Categoria, ni periodo"
923272927 - Barrancominas,"Sin Categoria, ni periodo"
923273537 - Rotorr-Motor de Innovación,"Sin Categoria, ni periodo"
923273541 - Impacto infraestructura SAS,"Sin Categoria, ni periodo"
