Municipio,Razon
210005400 - La Unión - Antioquia,Categoría no encontrada
210050400 - Lejanías,Periodo OCT A DIC - 2009 no encontrado
210120001 - Valledupar,Periodo OCT A DIC - 2009 no encontrado
210127001 - Quibdó,Periodo OCT A DIC - 2009 no encontrado
"210147001 - Santa Marta, Distrito Turístico, Cultural e Histórico",Categoría no encontrada
210191001 - Leticia,Periodo OCT A DIC - 2009 no encontrado
210354003 - Ábrego,Periodo OCT A DIC - 2009 no encontrado
210554405 - Los Patios,Periodo OCT A DIC - 2009 no encontrado
210627006 - Acandí,Periodo OCT A DIC - 2009 no encontrado
210654206 - Convención,Periodo OCT A DIC - 2009 no encontrado
210668406 - Lebrija,Periodo OCT A DIC - 2009 no encontrado
210725407 - Lenguazaque,Periodo OCT A DIC - 2009 no encontrado
210725807 - Tibirita,Periodo OCT A DIC - 2009 no encontrado
210752207 - Consacá,Periodo OCT A DIC - 2009 no encontrado
210870708 - San Marcos,Periodo OCT A DIC - 2009 no encontrado
210873408 - Lérida,"Sin Categoria, ni periodo"
211213212 - Córdoba - Bolívar,Periodo OCT A DIC - 2009 no encontrado
211327413 - Lloró,"Sin Categoria, ni periodo"
211370713 - San Onofre,"Sin Categoria, ni periodo"
211568615 - Rionegro - Santander,Periodo OCT A DIC - 2009 no encontrado
211570215 - Corozal,Periodo OCT A DIC - 2009 no encontrado
211595015 - Calamar - Guaviare,Periodo OCT A DIC - 2009 no encontrado
211615816 - Togüí,Categoría no encontrada
211819318 - Guapí,"Sin Categoria, ni periodo"
211819418 - López de Micay,"Sin Categoria, ni periodo"
211876318 - San Juan Bautista de Guacarí,Periodo OCT A DIC - 2009 no encontrado
212005120 - Cáceres,Periodo OCT A DIC - 2009 no encontrado
212008520 - Palmar de Varela,Periodo OCT A DIC - 2009 no encontrado
212013620 - San Cristóbal,Periodo OCT A DIC - 2009 no encontrado
212052320 - Guaitarilla,Periodo OCT A DIC - 2009 no encontrado
212052720 - Sapuyes,"Sin Categoria, ni periodo"
212068020 - Albania - Santander,Periodo OCT A DIC - 2009 no encontrado
212105021 - Alejandría,Periodo OCT A DIC - 2009 no encontrado
212152621 - Roberto Payán (San José),Periodo OCT A DIC - 2009 no encontrado
212215322 - Guateque,Periodo OCT A DIC - 2009 no encontrado
212315223 - Cubará,Periodo OCT A DIC - 2009 no encontrado
212325823 - Topaipí,Periodo OCT A DIC - 2009 no encontrado
212350223 - Cubarral,Periodo OCT A DIC - 2009 no encontrado
212352323 - Gualmatán,Periodo OCT A DIC - 2009 no encontrado
212370523 - San Antonio de Palmito,Periodo OCT A DIC - 2009 no encontrado
212370823 - Toluviejo,Periodo OCT A DIC - 2009 no encontrado
212417524 - Palestina - Caldas,Periodo OCT A DIC - 2009 no encontrado
212468324 - Guavatá,Periodo OCT A DIC - 2009 no encontrado
212499624 - Santa Rosalía,Periodo OCT A DIC - 2009 no encontrado
212515325 - Guayatá,Periodo OCT A DIC - 2009 no encontrado
212673026 - Alvarado,Periodo OCT A DIC - 2009 no encontrado
212752427 - Magüí (Payán),Periodo OCT A DIC - 2009 no encontrado
212876828 - Trujillo,Periodo OCT A DIC - 2009 no encontrado
213013030 - Alto del Rosario,Periodo OCT A DIC - 2009 no encontrado
213044430 - Maicao,Periodo OCT A DIC - 2009 no encontrado
213208832 - Tubará,Periodo OCT A DIC - 2009 no encontrado
213215832 - Tununguá,Periodo OCT A DIC - 2009 no encontrado
213308433 - Malambo,Periodo OCT A DIC - 2009 no encontrado
213525335 - Guayabetal,Periodo OCT A DIC - 2009 no encontrado
213544035 - Albania - Guajira,Periodo OCT A DIC - 2009 no encontrado
213552435 - Mallama (Piedrancha),Periodo OCT A DIC - 2009 no encontrado
213605036 - Angelópolis,Periodo OCT A DIC - 2009 no encontrado
213615236 - Chivor,Categoría no encontrada
213673236 - Dolores,Periodo OCT A DIC - 2009 no encontrado
213685136 - La Salina,"Sin Categoria, ni periodo"
213825438 - Medina,Periodo OCT A DIC - 2009 no encontrado
213925339 - Gutiérrez,Periodo OCT A DIC - 2009 no encontrado
214213442 - María la Baja,Periodo OCT A DIC - 2009 no encontrado
214215442 - Maripí,Periodo OCT A DIC - 2009 no encontrado
214270742 - Sincé,Periodo OCT A DIC - 2009 no encontrado
214413244 - El Carmen de Bolívar,Periodo OCT A DIC - 2009 no encontrado
