Municipio
214468444 - Matanza
214505045 - Apartadó
214505145 - Caramanta
214519845 - Villa Rica - Cauca
214520045 - Becerril
214525645 - San Antonio del Tequendama
214525745 - Simijaca
214525845 - Une
214527245 - El Carmen de Atrato
214527745 - Sipí
214547245 - El Banco
214547545 - Pijiño del Carmen
214547745 - Sitionuevo
214550245 - El Calvario
214554245 - El Carmen
214566045 - Apía
214568245 - El Guacamayo
214568745 - Simacota
214576845 - Ulloa
214615646 - Samacá
214617446 - Marulanda
214676246 - El Cairo
214705147 - Carepa
214705347 - Heliconia
214705647 - San Andrés de Cuerquia
214705847 - Urrao
214713647 - San Estanislao
214715047 - Aquitania
214718247 - El Doncello
214744847 - Uribia
214754347 - Herrán
214768147 - Capitanejo
214813248 - El Guamo -  Bolívar
214873148 - Carmen de Apicalá
214905649 - San Carlos -  Antioquia
215005150 - Carolina del Príncipe
215019050 - Argelia -  Cauca
215023350 - La Apartada
215027150 - Carmen del Darién
215027250 - Litoral del San Juan (Santa Genoveva de D.)
215027450 - Medio San Juan
215052250 - El Charco
215054250 - El Tarra
215068250 - El Peñón - Santander
215076250 - El Dovio
215085250 - Paz de Ariporo
215105051 - Arboletes
215150251 - El Castillo
215152051 - Arboleda - Berruecos
215268152 - Carcasí
215354553 - Puerto Santander
215405154 - Caucasia
215405854 - Valdivia
215413654 - San Jacinto - Bolívar
215425154 - Carmen de Carupa
215425754 - Soacha
215452254 - El Peñol - Nariño
215513655 - San Jacinto del Cauca
215515455 - Miraflores - Boyacá
215573555 - Planadas
215786757 - San Miguel - Putumayo
215805658 - San José de la Montaña
215805858 - Vegachí
215808558 - Polonuevo
215808758 - Soledad
215813458 - Montecristo
215825258 - El Peñón -  Cundinamarca
215825658 - San Francisco -  Cundinamarca
215825758 - Sopó
215847058 - Ariguaní
215847258 - El Piñón
215852258 - El Tablón de Gómez
215905059 - Armenia - Antioquia
215905659 - San Juan de Urabá
215915759 - Sogamoso
215941359 - Isnos
216005360 - Itagüí
216005660 - San Luis - Antioquia
216008560 - Ponedera
216013160 - Cantagallo
216013760 - Soplaviento
216015660 - San Eduardo
216018460 - Milán
216018860 - Valparaíso - Caquetá
216019760 - Sotará (Paispamba)
216020060 - Bosconia
216023660 - Sahagún
216025260 - El Rosal
216027160 - Cértegui
216027660 - San José del Palmar
216047660 - Sabanas de San Ángel
216047960 - Zapayán
216052260 - El Tambo - Nariño
216052560 - Potosí
216054660 - Salazar de las Palmas
216068160 - Cepitá
216105361 - Ituango
216127361 - Istmina
216197161 - Carurú
216225662 - San Juan de Río Seco
216376563 - Pradera
216405264 - Entrerríos
216423464 - Momil
216505665 - San Pedro de Urabá
216517665 - San José - Caldas
216552565 - Providencia - Nariño
216570265 - Guaranda
216581065 - Arauquita
216586865 - Valle del Guamuez (La Hormiga)
216605266 - Envigado
216615466 - Monguí
216623466 - Montelíbano
216668266 - Enciso
216697666 - Taraira
216705467 - Montebello
216705667 - San Rafael
216713667 - San Martín de Loba
216715367 - Jenesano
216715667 - San Luis de Gaceno
216717867 - Victoria
216725867 - Vianí
216813268 - El Peñón - Bolívar
216815368 - Jericó - Boyacá
216823168 - Chimá - Córdoba
216886568 - Puerto Asís
216915469 - Moniquirá
216925269 - Facatativá
216925769 - Subachoque
216968169 - Charta
216968669 - San Andrés - Santander
216976869 - Vijes
216986569 - Puerto Caicedo
217005670 - San Roque
217008770 - Suán
217013670 - San Pablo - Bolívar
217020570 - Pueblo Bello
217020770 - San Martín - Cesar
217023570 - Pueblo Nuevo
217023670 - San Andrés de Sotavento
217041770 - Suaza
217047170 - Chivolo
217047570 - Puebloviejo
217050270 - El Dorado
217050370 - La Uribe
217054670 - San Calixto
217063470 - Montenegro
217066170 - Dosquebradas
217068370 - Jordán
217068770 - Suaita
217070670 - Sampués
217073270 - Falán
217073770 - Suárez - Tolima
217073870 - Villahermosa
217076670 - San Pedro - Valle del Cauca
217125871 - Villagómez
217154871 - Villacaro
217168271 - Florián
217170771 - Sucre - Sucre
217173671 - Saldaña
217186571 - Puerto Guzmán
217205172 - Chigorodó
217208372 - Juan de Acosta
217215172 - Chinavita
217215272 - Firavitoba
217215572 - Puerto Boyacá
217217272 - Filadelfia
217223672 - San Antero
217225372 - Junín
217225572 - Puerto Salgar
217225772 - Suesca
217227372 - Juradó
217241872 - Villavieja
217254172 - Chinácota
217263272 - Filandia
217266572 - Pueblo Rico - Risaralda
217268872 - Villanueva - Santander
217305873 - Vigía del Fuerte
217308573 - Puerto Colombia
217313473 - Morales - Bolívar
217313673 - Santa Catalina - Bolívar
217313873 - Villanueva - Bolívar
217315673 - San Mateo
217317873 - Villamaría
217319473 - Morales - Cauca
217319573 - Puerto Tejada
217325473 - Mosquera - Cundinamarca
217325873 - Villapinzón
217327073 - Bagadó
217350573 - Puerto López
217352473 - Mosquera - Nariño
217352573 - Puerres
217354673 - San Cayetano - Norte de Santander
217368573 - Puerto Parra
217368673 - San Benito
217368773 - Sucre - Santander
217370473 - Morroa
217373873 - Villarrica - Tolima
217386573 - Puerto Leguízamo
217399773 - Cumaribo
217405674 - San Vicente Ferrer
217525175 - Chía
217717777 - Supía
217717877 - Viterbo
217725377 - La Calera
217725777 - Supatá
217727077 - Bajo Baudó - Pizarro
217750577 - Puerto Lleras
217754377 - Labateca
217768077 - Barbosa - Santander
217768377 - La Belleza
217776377 - La Cumbre
217808078 - Baranoa
217815778 - Sutatenza
217820178 - Chiriguaná
217823678 - San Carlos - Córdoba
217825178 - Chipaque
217825878 - Viotá
217841078 - Baraya
217841378 - La Argentina
217844078 - Barrancas
217844378 - Hato Nuevo
217852378 - La Cruz
217852678 - Samaniego
217870678 - San Benito Abad
217873678 - San Luis - Tolima
217905079 - Barbosa - Antioquia
217905579 - Puerto Berrío
217905679 - Santa Bárbara - Antioquia
217915879 - Viracachá
217918479 - Morelia
217923079 - Buenavista - Córdoba
217925279 - Fómeque
217925779 - Susa
217968179 - Chipatá
217968679 - San Gil
217985279 - Recetor
218005380 - La Estrella
218005480 - Mutatá
218013580 - Regidor
218013780 - Talaigua Nuevo
218015180 - Chiscas
218015380 - La Capilla
218015480 - Muzo
218015580 - Quípama
218017380 - La Dorada
218019780 - Suárez - Cauca
218023580 - Puerto Libertador
218025580 - Pulí
218027580 - Rio Iró
218047980 - Zona Bananera
218050680 - San Carlos de Guaroa
218052480 - Nariño - Nariño
218054480 - Mutiscua
218054680 - Santiago - Norte de Santander
218068780 - Suratá
218115681 - San Pablo de Borbur
218125181 - Choachí
218125281 - Fosca
218313683 - Santa Rosa Norte
218352683 - Sandoná
218505885 - Yalí
218508685 - Santo Tomás
218541885 - Yaguará
218586885 - Villagarzón (Villa Amazónica)
218625086 - Beltrán
218650686 - San Juanito
218668686 - San Miguel - Santander
218715087 - Belén - Boyacá
218727787 - Tadó
218813188 - Cicuco
218813688 - Santa Rosa del Sur
218817088 - Belalcázar
218817388 - La Merced
218825288 - Fúquene
218825488 - Nilo
218847288 - Fundación
218852788 - Tangua
218866088 - Belén de Umbría
218905789 - Támesis
218915189 - Ciénega - Boyacá
218923189 - Ciénaga de Oro
218925489 - Nimaima
218947189 - Ciénaga
218950689 - San Martín - Meta
218968689 - San Vicente de Chucurí
219005190 - Cisneros
219005390 - La Pintada
219005490 - Necoclí
219005690 - Santo Domingo
219005790 - Tarazá
219005890 - Yolombó
219015090 - Berbeo
219015690 - Santa María - Boyacá
219015790 - Tasco
219019290 - Florencia - Cauca
219023090 - Canalete
219052390 - La Tola
219052490 - Olaya Herrera (Bocas de Satinga)
219063190 - Circasia
219063690 - Salento
219068190 - Cimitarra
219105091 - Betania
219218592 - Puerto Rico - Caquetá
219247692 - San Sebastián de Buenavista
219425394 - La Palma
219463594 - Quimbaya
219481794 - Tame
219615296 - Gámeza
219615696 - Santa Sofía
219625596 - Quipile
219725297 - Gachetá
219854398 - La Playa de Belén
219925599 - Apulo - Rafael Reyes
220105999 - Área Metropolitana del Valle de Aburrá
220208999 - Área Metropolitana de Barranquilla
220273411 - Hogar San José para Ancianos
220354999 - Área Metropolitana de Cúcuta
220568999 - Área Metropolitana de Bucaramanga
223511001 - Fundación Gilberto Alzate Avendaño
224968081 - Inspección de Tránsito y Transporte de Barrancabermeja
225468001 - Bomberos de Bucaramanga
230105045 - Plaza de Mercado de Apartadó
230386001 - Plaza de Mercado de Mocoa
230605001 - Aeropuerto Olaya Herrera
238866001 - Aeropuerto Matecaña
265476111 - Buga Abastos
267411001 - Canal Capital
822400000 - Defensoría del Pueblo
923269198 - Fonprecon - Invalidez
923269199 - Fonprecon - Sobrevivientes
923270346 - Guachené
923271475 - San José de Uré
923271489 - Norosí
923271490 - Tuchín
923271506 - Ente Deportivo Municipal Santa Rosa de Viterbo
923272548 - Área Metropolitana de Valledupar
923272864 - Fundación San Juan de Dios de Santanfé de Antioquia.
923272915 - Infraestructura Asset Management Colombia SAS
923272927 - Barrancominas
923273537 - Rotorr-Motor de Innovación
923273541 - Impacto infraestructura SAS
